=== probe armed: 14/14 hooks. Do your actions now; each firing logs here. ===
105.616  [BUILD.damage]  /Script/Pal.PalBuildObject:OnDamage | self=BP_BuildObject_WorkBench_C  a1=UObject: 000001BC26475F28 a2=UScriptStruct: 000001BCC0B07368 a3= | BP_BuildObject_WorkBench_C /Game/Pal/Maps/MainWorld_5/PL_MainWorld5.PL_MainWorld5:PersistentLevel.BP_BuildObject_WorkBench_C_2147459990
106.764  [BUILD.interact]  /Script/Pal.PalBuildObject:OnBeginInteractBuilding | self=BP_BuildObject_WorkBench_C  a1=AActor: 000001BC26475D28 a2=UObject: 000001BC26475228 a3= | BP_BuildObject_WorkBench_C /Game/Pal/Maps/MainWorld_5/PL_MainWorld5.PL_MainWorld5:PersistentLevel.BP_BuildObject_WorkBench_C_2147459990
107.067  [BUILD.interact]  /Script/Pal.PalBuildObject:OnBeginInteractBuilding | self=BP_BuildObject_WorkBench_C  a1=AActor: 000001BC6EAF9A18 a2=UObject: 000001BC6EAF8318 a3= | BP_BuildObject_WorkBench_C /Game/Pal/Maps/MainWorld_5/PL_MainWorld5.PL_MainWorld5:PersistentLevel.BP_BuildObject_WorkBench_C_2147459990
107.119  [BUILD.interact]  /Script/Pal.PalBuildObject:OnBeginInteractBuilding | self=BP_BuildObject_WorkBench_C  a1=AActor: 000001BCEED5C1D8 a2=UObject: 000001BCEED5CFD8 a3= | BP_BuildObject_WorkBench_C /Game/Pal/Maps/MainWorld_5/PL_MainWorld5.PL_MainWorld5:PersistentLevel.BP_BuildObject_WorkBench_C_2147459990
117.130  [BUILD.damage]  /Script/Pal.PalBuildObject:OnDamage | self=BP_BuildObject_WorkBench_C  a1=UObject: 000001BC5C8E2E18 a2=UScriptStruct: 000001BC3F744918 a3= | BP_BuildObject_WorkBench_C /Game/Pal/Maps/MainWorld_5/PL_MainWorld5.PL_MainWorld5:PersistentLevel.BP_BuildObject_WorkBench_C_2147469319
117.609  [BUILD.damage]  /Script/Pal.PalBuildObject:OnDamage | self=BP_BuildObject_WorkBench_C  a1=UObject: 000001BC5C8E4118 a2=UScriptStruct: 000001BC3F745088 a3= | BP_BuildObject_WorkBench_C /Game/Pal/Maps/MainWorld_5/PL_MainWorld5.PL_MainWorld5:PersistentLevel.BP_BuildObject_WorkBench_C_2147459990
129.106  [BUILD.damage]  /Script/Pal.PalBuildObject:OnDamage | self=BP_BuildObject_WorkBench_C  a1=UObject: 000001BABBA67738 a2=UScriptStruct: 000001BAE825AC58 a3= | BP_BuildObject_WorkBench_C /Game/Pal/Maps/MainWorld_5/PL_MainWorld5.PL_MainWorld5:PersistentLevel.BP_BuildObject_WorkBench_C_2147469319
130.612  [BUILD.damage]  /Script/Pal.PalBuildObject:OnDamage | self=BP_BuildObject_WorkBench_C  a1=UObject: 000001BAEA903E48 a2=UScriptStruct: 000001BCEEA88318 a3= | BP_BuildObject_WorkBench_C /Game/Pal/Maps/MainWorld_5/PL_MainWorld5.PL_MainWorld5:PersistentLevel.BP_BuildObject_WorkBench_C_2147459990
132.004  [BUILD.interact]  /Script/Pal.PalBuildObject:OnBeginInteractBuilding | self=BP_BuildObject_WorkBench_C  a1=AActor: 000001BC6F6E7EF8 a2=UObject: 000001BC6F6E7DF8 a3= | BP_BuildObject_WorkBench_C /Game/Pal/Maps/MainWorld_5/PL_MainWorld5.PL_MainWorld5:PersistentLevel.BP_BuildObject_WorkBench_C_2147469319
132.160  [BUILD.interact]  /Script/Pal.PalBuildObject:OnBeginInteractBuilding | self=BP_BuildObject_WorkBench_C  a1=AActor: 000001BC6F6E86F8 a2=UObject: 000001BC6F6E80F8 a3= | BP_BuildObject_WorkBench_C /Game/Pal/Maps/MainWorld_5/PL_MainWorld5.PL_MainWorld5:PersistentLevel.BP_BuildObject_WorkBench_C_2147469319
132.184  [BUILD.interact]  /Script/Pal.PalBuildObject:OnBeginInteractBuilding | self=BP_BuildObject_WorkBench_C  a1=AActor: 000001BC6F6E8FF8 a2=UObject: 000001BC6F6E75F8 a3= | BP_BuildObject_WorkBench_C /Game/Pal/Maps/MainWorld_5/PL_MainWorld5.PL_MainWorld5:PersistentLevel.BP_BuildObject_WorkBench_C_2147469319
138.817  [BUILD.interact]  /Script/Pal.PalBuildObject:OnBeginInteractBuilding | self=BP_BuildObject_WorkBench_C  a1=AActor: 000001BCBBA31DD8 a2=UObject: 000001BCBBA31CD8 a3= | BP_BuildObject_WorkBench_C /Game/Pal/Maps/MainWorld_5/PL_MainWorld5.PL_MainWorld5:PersistentLevel.BP_BuildObject_WorkBench_C_2147469319
138.818  [BUILD.interact]  /Script/Pal.PalBuildObject:OnBeginInteractBuilding | self=BP_BuildObject_WorkBench_C  a1=AActor: 000001BCBBA326D8 a2=UObject: 000001BCBBA32ED8 a3= | BP_BuildObject_WorkBench_C /Game/Pal/Maps/MainWorld_5/PL_MainWorld5.PL_MainWorld5:PersistentLevel.BP_BuildObject_WorkBench_C_2147469319
138.853  [BUILD.interact]  /Script/Pal.PalBuildObject:OnBeginInteractBuilding | self=BP_BuildObject_WorkBench_C  a1=AActor: 000001BCBBA31FD8 a2=UObject: 000001BCBBA32AD8 a3= | BP_BuildObject_WorkBench_C /Game/Pal/Maps/MainWorld_5/PL_MainWorld5.PL_MainWorld5:PersistentLevel.BP_BuildObject_WorkBench_C_2147459990
138.913  [BUILD.interact]  /Script/Pal.PalBuildObject:OnBeginInteractBuilding | self=BP_BuildObject_WorkBench_C  a1=AActor: 000001BCBBA319D8 a2=UObject: 000001BCBBA31AD8 a3= | BP_BuildObject_WorkBench_C /Game/Pal/Maps/MainWorld_5/PL_MainWorld5.PL_MainWorld5:PersistentLevel.BP_BuildObject_WorkBench_C_2147459990
139.435  [BUILD.interact]  /Script/Pal.PalBuildObject:OnBeginInteractBuilding | self=BP_BuildObject_WorkBench_C  a1=AActor: 000001BCFC2CAC18 a2=UObject: 000001BCFC2CA918 a3= | BP_BuildObject_WorkBench_C /Game/Pal/Maps/MainWorld_5/PL_MainWorld5.PL_MainWorld5:PersistentLevel.BP_BuildObject_WorkBench_C_2147469319
139.436  [BUILD.interact]  /Script/Pal.PalBuildObject:OnBeginInteractBuilding | self=BP_BuildObject_WorkBench_C  a1=AActor: 000001BCFC2CA318 a2=UObject: 000001BCFC2CAA18 a3= | BP_BuildObject_WorkBench_C /Game/Pal/Maps/MainWorld_5/PL_MainWorld5.PL_MainWorld5:PersistentLevel.BP_BuildObject_WorkBench_C_2147469319
139.491  [BUILD.interact]  /Script/Pal.PalBuildObject:OnBeginInteractBuilding | self=BP_BuildObject_WorkBench_C  a1=AActor: 000001BCFC2C9D18 a2=UObject: 000001BCFC2CAB18 a3= | BP_BuildObject_WorkBench_C /Game/Pal/Maps/MainWorld_5/PL_MainWorld5.PL_MainWorld5:PersistentLevel.BP_BuildObject_WorkBench_C_2147459990
140.162  [BUILD.interact]  /Script/Pal.PalBuildObject:OnBeginInteractBuilding | self=BP_BuildObject_WorkBench_C  a1=AActor: 000001BB2F71F418 a2=UObject: 000001BB2F71E718 a3= | BP_BuildObject_WorkBench_C /Game/Pal/Maps/MainWorld_5/PL_MainWorld5.PL_MainWorld5:PersistentLevel.BP_BuildObject_WorkBench_C_2147469319
140.162  [BUILD.interact]  /Script/Pal.PalBuildObject:OnBeginInteractBuilding | self=BP_BuildObject_WorkBench_C  a1=AActor: 000001BB2F71E118 a2=UObject: 000001BB2F71E218 a3= | BP_BuildObject_WorkBench_C /Game/Pal/Maps/MainWorld_5/PL_MainWorld5.PL_MainWorld5:PersistentLevel.BP_BuildObject_WorkBench_C_2147469319
140.772  [BUILD.interact]  /Script/Pal.PalBuildObject:OnBeginInteractBuilding | self=BP_BuildObject_WorkBench_C  a1=AActor: 000001BB2F715D18 a2=UObject: 000001BB2F714818 a3= | BP_BuildObject_WorkBench_C /Game/Pal/Maps/MainWorld_5/PL_MainWorld5.PL_MainWorld5:PersistentLevel.BP_BuildObject_WorkBench_C_2147469319
140.773  [BUILD.interact]  /Script/Pal.PalBuildObject:OnBeginInteractBuilding | self=BP_BuildObject_WorkBench_C  a1=AActor: 000001BB2F717F18 a2=UObject: 000001BB2F717018 a3= | BP_BuildObject_WorkBench_C /Game/Pal/Maps/MainWorld_5/PL_MainWorld5.PL_MainWorld5:PersistentLevel.BP_BuildObject_WorkBench_C_2147469319
141.482  [BUILD.interact]  /Script/Pal.PalBuildObject:OnBeginInteractBuilding | self=BP_BuildObject_WorkBench_C  a1=AActor: 000001BB2F716318 a2=UObject: 000001BB2F715418 a3= | BP_BuildObject_WorkBench_C /Game/Pal/Maps/MainWorld_5/PL_MainWorld5.PL_MainWorld5:PersistentLevel.BP_BuildObject_WorkBench_C_2147469319
141.483  [BUILD.interact]  /Script/Pal.PalBuildObject:OnBeginInteractBuilding | self=BP_BuildObject_WorkBench_C  a1=AActor: 000001BB2F714218 a2=UObject: 000001BB2F717D18 a3= | BP_BuildObject_WorkBench_C /Game/Pal/Maps/MainWorld_5/PL_MainWorld5.PL_MainWorld5:PersistentLevel.BP_BuildObject_WorkBench_C_2147469319
141.514  [BUILD.interact]  /Script/Pal.PalBuildObject:OnBeginInteractBuilding | self=BP_BuildObject_WorkBench_C  a1=AActor: 000001BB2F717318 a2=UObject: 000001BB2F715918 a3= | BP_BuildObject_WorkBench_C /Game/Pal/Maps/MainWorld_5/PL_MainWorld5.PL_MainWorld5:PersistentLevel.BP_BuildObject_WorkBench_C_2147459990
141.515  [BUILD.interact]  /Script/Pal.PalBuildObject:OnBeginInteractBuilding | self=BP_BuildObject_WorkBench_C  a1=AActor: 000001BB2F716A18 a2=UObject: 000001BB2F717418 a3= | BP_BuildObject_WorkBench_C /Game/Pal/Maps/MainWorld_5/PL_MainWorld5.PL_MainWorld5:PersistentLevel.BP_BuildObject_WorkBench_C_2147459990
142.104  [BUILD.interact]  /Script/Pal.PalBuildObject:OnBeginInteractBuilding | self=BP_BuildObject_WorkBench_C  a1=AActor: 000001BB2F714418 a2=UObject: 000001BB2F716D18 a3= | BP_BuildObject_WorkBench_C /Game/Pal/Maps/MainWorld_5/PL_MainWorld5.PL_MainWorld5:PersistentLevel.BP_BuildObject_WorkBench_C_2147469319
142.105  [BUILD.interact]  /Script/Pal.PalBuildObject:OnBeginInteractBuilding | self=BP_BuildObject_WorkBench_C  a1=AActor: 000001BB2F715818 a2=UObject: 000001BB2F71AD18 a3= | BP_BuildObject_WorkBench_C /Game/Pal/Maps/MainWorld_5/PL_MainWorld5.PL_MainWorld5:PersistentLevel.BP_BuildObject_WorkBench_C_2147469319
